Date,PX_LAST,PX_VOLUME
5/1/2015,32.3061,21543362
5/4/2015,32.5336,23590434
5/5/2015,32.344,22382158
5/6/2015,31.7184,26859481
5/7/2015,31.8321,21508469
5/8/2015,32.2492,20411756
5/11/2015,32.1923,26469509
5/12/2015,32.0217,17889918
5/13/2015,31.7847,23762495
5/14/2015,32.1734,17894537
5/15/2015,32.2208,16886762
5/18/2015,32.2113,24619161
5/19/2015,32.4293,20854707
5/20/2015,32.5146,15316889
5/21/2015,32.5715,18112198
5/22/2015,32.4957,12973502
5/26/2015,32.3345,18863608
5/27/2015,32.5146,22041415
5/28/2015,32.6473,15817238
5/29/2015,32.9412,50083281
6/1/2015,32.7611,27551643
6/2/2015,32.6947,18666242
6/3/2015,32.6189,17201219
6/4/2015,32.4578,20659114
6/5/2015,32.3156,23067781
6/8/2015,32.2113,17670265
6/9/2015,32.2397,23211089
6/10/2015,32.5241,23674000
6/11/2015,32.6663,20155476
6/12/2015,32.4293,21685532
6/15/2015,32.2682,20933597
6/16/2015,32.2682,20668868
6/17/2015,32.2113,20993535
6/18/2015,32.581,24510771
6/19/2015,32.4009,28878959
6/22/2015,32.5241,14041005
6/23/2015,32.7042,18452412
6/24/2015,32.4483,23080402
6/25/2015,32.2492,23025334
6/26/2015,32.1544,35670284
6/29/2015,31.8416,28839453
6/30/2015,31.7847,35018708
7/1/2015,31.9364,28218521
7/2/2015,31.633,22627197
7/6/2015,31.5193,20992420
7/7/2015,31.9743,25852788
7/8/2015,31.7089,20209854
7/9/2015,32.0975,22112005
7/10/2015,32.5715,21146375
7/13/2015,33.0076,18226226
7/14/2015,33.254,18496477
7/15/2015,33.1592,19466157
7/16/2015,33.273,15311782
7/17/2015,33.2446,16775621
7/20/2015,33.4057,14772177
7/21/2015,33.3109,17658558
7/22/2015,33.0644,17624916
7/23/2015,32.9697,12718083
7/24/2015,32.4767,21428146
7/27/2015,32.5526,31323719
7/28/2015,33.51,36671126
7/29/2015,33.8986,45343528
7/30/2015,33.8702,21501902
7/31/2015,34.183,29004377
8/3/2015,34.2683,17096397
8/4/2015,34.2304,25733256
8/5/2015,33.9555,24247752
8/6/2015,33.3394,24471370
8/7/2015,33.3583,14653781
8/10/2015,33.5195,15619269
8/11/2015,33.292,19234841
8/12/2015,33.5289,27984632
8/13/2015,33.5195,19540577
8/14/2015,33.4815,18067339
8/17/2015,33.6522,13881656
8/18/2015,33.6711,13343611
8/19/2015,33.4341,17835440
8/20/2015,32.7516,18764789
8/21/2015,31.7942,33488851
8/24/2015,30.4576,52259907
8/25/2015,29.7087,42299709
8/26/2015,30.742,43645667
8/27/2015,31.5288,38592990
8/28/2015,30.96,33491832
8/31/2015,30.5429,32034626
9/1/2015,29.7277,39136107
9/2/2015,30.3059,31423678
9/3/2015,30.2301,21587915
9/4/2015,29.7371,22562960
9/8/2015,30.8368,25972815
9/9/2015,30.2964,21397708
9/10/2015,30.9221,31311517
9/11/2015,31.2539,22379477
9/14/2015,31.0074,15585448
9/15/2015,31.4435,20923890
